"ID","author","date","message"
"df44a8c8","nicolasepiscopo","1541713664","Fixing library on Xcode10"
"9f2b8f6d","nicolasepiscopo","1541704446","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"ff942a20","nicolasepiscopo","1541704419","Merge branch 'develop' of bitbucket.org:bardog/bardog-mobile-native"
"5b7a5c5c","nicolasepiscopo","1541704391","Library update to support Android 4xx"
"d95ebbdf","nicolasepiscopo","1541703372","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"d97ca33b","Nicolás Epíscopo","1541702471","Merged in develop (pull request #90)"
"26f404a3","nicolasepiscopo","1541702433","Version 3.27.1"
"4fc4aa56","nicolasepiscopo","1541695619","[BD-3046] Pressing 'Save changes' on the discard prompt on Add item (Catalog) and Invoice/Adjustment (Purchase) pages will crash the app"
"50680c68","nicolasepiscopo","1541677044","[BD-3041] Registration automatically goes to Go Premium page on expo DEV"
"d751e815","nicolasepiscopo","1541676754","[BD-3042] Pressing 'Save' on the Discard prompt on Master Catalog will crash the app on Dev environment"
"4972219b","nicolasepiscopo","1541615566","[BD-3039] Add search feature to Bulk Add Items on DEV"
"0e26e64e","Adán Mauri Ungaro","1540578172","Merged in story/BD-2899 (pull request #77)"
"e996b368","nicolasepiscopo","1540572875","[BD-2838] Minimize padding on the premium subheading on iPhone X"
"ec26f112","nicolasepiscopo","1540570633","[BD-2835] Push the buttons up a little bit on the onboarding screens for iPhone X"
"0d57eeb4","Adán Mauri Ungaro","1540313406","[BD-2899] Use saved purchase records to be selected on the 'Submit purchase information' for the current inventory on mobile"
"79d0f110","nicolasepiscopo","1540218969","[BD-2908] Last items of alpha-scroll list are not visible"
"a4006816","nicolasepiscopo","1540217206","[BD-2906] Alpha-scroll overflows onto progress bar on iPhone X"
"53840c59","nicolasepiscopo","1539969400","[BD-2905] Resume on inventory screen overflows to 2nd line on iPhone X"
"80621be7","nicolasepiscopo","1539967441","[BD-2930] Terms of Service and Privacy Policy and premium page are not scrollable on IOS"
"e1f0b9f8","nicolasepiscopo","1539871269","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"17679f91","Nicolás Epíscopo","1539871086","Merged in develop (pull request #72)"
"b50ed29e","nicolasepiscopo","1539870473","[BD-2924] Production app crashes on some Android devices"
"b1ccb965","nicolasepiscopo","1539197368","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"3eb4e306","Nicolás Epíscopo","1539197325","Merged in develop (pull request #61)"
"7cd6d088","nicolasepiscopo","1539197061","Temporal fix for email me a link"
"ce1c4ac0","nicolasepiscopo","1539194071","[BD-2890] Scroll fix"
"14a97eef","nicolasepiscopo","1539174139","[BD-2890] Fix on terms and privacy modal"
"cd9ea879","nicolasepiscopo","1539111393","[BD-2890] && [BD-2891]"
"3c6b95a3","nicolasepiscopo","1538741621","[BD-2832] DnD sort is not working on generic list"
"6779fc15","nicolasepiscopo","1538739914","[BD-2882] Update the growl message for incorrect current password on change password page"
"2d953764","nicolasepiscopo","1538658329","[BD-2873] [BD-2875]"
"9ba387bf","nicolasepiscopo","1538595924","[BD-2832] DnD sort is not working on generic list"
"9a71cba1","nicolasepiscopo","1538580376","[BD-2854] Reduce header height"
"061115ee","nicolasepiscopo","1538575333","[BD-2854] Reduce Header height on mobile"
"2d030653","nicolasepiscopo","1538573591","[BD-2860] Keyboard doesn't close or collapse on submit revenue/purchase for the inventory"
"dac537a8","nicolasepiscopo","1538572792","[BD-2858] Text for search bar is not showing on android device"
"fd0ea1d9","nicolasepiscopo","1538497072","[BD-2856] Adding a new storage or deleting a storage will take a few seconds to appear"
"41f2b2e0","nicolasepiscopo","1538483052","[BD-2861] Dnd item movement is not working during offline mode"
"d8f77d95","nicolasepiscopo","1538482175","[BD-2857] Pressing the whitespace on the right side of add item logo on bulk add item page will crash the app"
"b0b8775f","nicolasepiscopo","1538396349","Merge with master"
"851770c2","nicolasepiscopo","1538396029","Merge with dev"
"5137205f","nicolasepiscopo","1538395911","Version 3.27.0"
"e0365230","nicolasepiscopo","1538394874","[BD-2850] Pressing 'Get Started' button on Your business page will crash the app"
"fb57f60e","nicolasepiscopo","1538165695","Fixing config for dev"
"6fe8667e","Nicolás Epíscopo","1538165592","Merged in feature/rebranding (pull request #59)"
"ad870d8b","nicolasepiscopo","1538165526","Fix conflicts with develop"
"2450c367","nicolasepiscopo","1538164425","[BD-2559] Offline Save/Discard confirmation dialog detail"
"d1a7f007","nicolasepiscopo","1538160718","[BD-2848] Update the video page and put the 'Skip' button fix at the bottom"
"5ff674a7","nicolasepiscopo","1538149348","[BD-2810] Automatically make country input active and bring up keyboard when the country fields are touched on settings pages"
"b56983a9","nicolasepiscopo","1538079223","Minor fix on searchbar look"
"97e97c31","nicolasepiscopo","1538076356","Integrated Subscription info endpoint for a business on Account Type page"
"37e7b2e0","nicolasepiscopo","1538071874","[BD-2832] DnD sort is not working on generic list"
"f7b8bc61","nicolasepiscopo","1538061293","Fixes to list"
"f2b06ebe","nicolasepiscopo","1538058783","Reset signup start point"
"fd3bbdea","nicolasepiscopo","1538058344","Fixing head"
"fb3fc106","nicolasepiscopo","1538057304","[BD-2822] 'Continue with Free Account' button on Android is cut to half"
"f6290e34","nicolasepiscopo","1537975583","Adding gitignore for xcode and android studio"
"49b0b511","nicolasepiscopo","1537975214","New build for itunes and android"
"ca2802e4","nicolasepiscopo","1537973545","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"ddf91823","Nicolás Epíscopo","1537964044","Merged in bugfix/BD-2841 (pull request #58)"
"f027e0ce","nicolasepiscopo","1537963875","[BD-2841] Adding a mobile number on registration then skipping it will cause an error and block the registration"
"2df3b9bd","nicolasepiscopo","1537899963","[BD-2808] Entered new address will be lost after a few seconds or when user goes to other address fields"
"d01c9695","nicolasepiscopo","1537878503","Adding confirmation to Revoke action"
"e3593716","nicolasepiscopo","1537878014","[BD-2831] Invited user will not automatically appear on the manage user list if invite user page is accessed by + button on the Manage user page"
"7d85817f","nicolasepiscopo","1537819714","[BD-2828] Country code selection on Mobile pages from Get Started pages on mobile will crash the app"
"7e0275c6","nicolasepiscopo","1537819129","[BD-2827] App crashes when user enters the business name on the registration page"
"fc312ee8","nicolasepiscopo","1537817718","Commenting unused settings"
"4295c02c","nicolasepiscopo","1537817491","[BD-2756] empty state and sort"
"66aa906d","nicolasepiscopo","1537816768","[BD-2756] Add, edit, list and remove storage areas"
"04ffd4f3","nicolasepiscopo","1537562410","Minor fix"
"8a653b0f","nicolasepiscopo","1537561253","[BD-2755] User settings on mobile"
"2e5f5c40","nicolasepiscopo","1537547607","Deploying new build"
"6992f5ef","nicolasepiscopo","1537539289","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"4655ab53","Nicolás Epíscopo","1537539197","Merged in develop (pull request #57)"
"b556792c","nicolasepiscopo","1537538028","Adding Terms of Service and Privacy Policy to Settings page"
"12707268","nicolasepiscopo","1537535394","[BD-2826] Make iTunes/Google Play text on premium page conditional"
"50b5ba44","nicolasepiscopo","1537474459","[BD-2815] Phone number validation error in mobile settings (always exists)"
"512b7c1d","nicolasepiscopo","1537471788","Minor fix"
"499a79d6","nicolasepiscopo","1537471649","Account type and upgrade screens"
"ca678043","nicolasepiscopo","1537445789","[BD-2814] Close keyboard on mobile when user press outside the keyboard or in other fields"
"bc90034b","nicolasepiscopo","1537392239","[BD-2811] Add discard prompt if user edited a field on Settings pages then did not save and press the Back button"
"acf76b83","nicolasepiscopo","1537371860","[BD-2807] Address auto complete selection is not appearing when user wants to edit or update their address on the Business Address page on Settings tab"
"dff180fe","nicolasepiscopo","1537369876","[BD-2806] Pressing 'Done' button on keyboard on the last field of any pages from Settings will automatically save all the changes"
"cecfaad1","nicolasepiscopo","1537368382","[BD-2439] Catalog tab is stuck on loading - Improvements"
"d0d306c3","nicolasepiscopo","1537367135","[BD-2805] Add field labels when fields are populated"
"a9ebe4ed","nicolasepiscopo","1537364479","[BD-2804] App will crash when user entered a page from the tab bar pages then press the same tab again"
"4dfbe6de","nicolasepiscopo","1537362408","Fixing conflicts"
"65a81060","nicolasepiscopo","1537359760","Merge with develop changes on subscription page"
"1e165121","nicolasepiscopo","1537357555","Changes to subscription screen"
"dca81739","nicolasepiscopo","1537294265","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"39ee2247","Nicolás Epíscopo","1537294117","Merged in develop (pull request #56)"
"96e96915","nicolasepiscopo","1537292819","[BD-2809] Added Google Play text"
"e307e23e","nicolasepiscopo","1537284929","[BD-2809] Minor enhancements"
"2a3e685d","nicolasepiscopo","1537283917","[BD-2809] Changing color on scroll text to a lighter one"
"4dd99072","nicolasepiscopo","1537282178","[BD-2809] Update subscription page to include required Apple terms"
"17bb730e","nicolasepiscopo","1537213857","Added message for premium users on settings page"
"91bf9991","nicolasepiscopo","1537200780","[BD-2754] && [BD-2755] && [BD-2764]"
"1233b0bd","nicolasepiscopo","1536956627","Added more settings and premium block"
"4caf4eef","nicolasepiscopo","1536932069","New sorting with onLongPress"
"c379b026","nicolasepiscopo","1536889632","Fixed some other styles for signup"
"7ce12bfb","nicolasepiscopo","1536889124","Finished redesign for some screens in the singup process"
"332090fe","nicolasepiscopo","1536879475","Fixing styles on getting started, signup, login, empty states and purchases."
"52c6c35b","nicolasepiscopo","1536863393","Fixes"
"f1905613","nicolasepiscopo","1536859392","Fixed add items to inventory"
"b09cdc72","nicolasepiscopo","1536787250","Added settings section"
"7741b36a","nicolasepiscopo","1536782958","Fixed issues on Purchases"
"c3b92638","nicolasepiscopo","1536773519","Input and form changes on layout"
"8339e12a","nicolasepiscopo","1536771120","Fixed TabBar behaviour"
"48b44a20","nicolasepiscopo","1536763126","Removed filters and search box from list"
"fd433a94","nicolasepiscopo","1536697736","Deploying v3.26.0 to itunes and android"
"88341bf2","nicolasepiscopo","1536696319","WIP"
"7d468f9a","nicolasepiscopo","1536689943","WIP"
"5c0a6558","nicolasepiscopo","1536608324","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"e46cbc6b","Nicolás Epíscopo","1536608311","Merged in develop (pull request #55)"
"f4708e1d","Nicolás Epíscopo","1536608198","Merged in feature/v3.26.0-fixes (pull request #54)"
"833b4b9a","nicolasepiscopo","1536608118","WIP"
"92ffdffe","nicolasepiscopo","1536597461","[BD-2768] Update input size and appearance to reflect mock design"
"9179a0f7","nicolasepiscopo","1536581379","Latest fixes"
"2105a6f1","nicolasepiscopo","1536352291","[BD-2776] Returning the inventory summary list to summary report will not group the items together"
"b92619bb","nicolasepiscopo","1536346950","[BD-2719] Make Dropdown font consistent with text input font on mobile (it's smaller)"
"ffac4045","nicolasepiscopo","1536346754","[BD-2717] Change text from 'Signup' to 'Sign up' on mobile registration"
"dd260253","nicolasepiscopo","1536346704","[BD-2746] Replace OTP text on mobile login screen with more friendly text"
"2d930755","nicolasepiscopo","1536346607","[BD-2745] Rename pourcost to pour cost on Premium features screen"
"1d3bd84b","nicolasepiscopo","1536346139","[BD-2781] Video continually plays even after user press 'Skip' on android device"
"41b736ba","nicolasepiscopo","1536344663","[BD-2780] Premium page on login flickers making the button to not work"
"2fe2946d","nicolasepiscopo","1536341044","[BD-2718] Extend tappable area for text inputs, include far right edge and label to make active"
"81f887c8","nicolasepiscopo","1536340205","[BD-2776] Returning the inventory summary list to summary report will not group the items together"
"2656d810","nicolasepiscopo","1536335514","[BD-2770] 'Empty' selection for Vendor filter on purchase is at the middle"
"0b28a848","nicolasepiscopo","1536334377","[BD-2777] Pressing 'Done' on android keyboard will not count the item by Order unit on the Order unit count"
"983cd5b3","nicolasepiscopo","1536331749","[BD-2773] Clear or Reset filter is not showing on the Catalog filter modal"
"1d54916d","nicolasepiscopo","1536331289","[BD-2771] Clear Filter is not showing on Purchase record filter modal"
"e0ec184b","nicolasepiscopo","1536329172","[BD-2774] Fix 'Confirm' button on the add new storage modal"
"d0dbbd46","nicolasepiscopo","1536324884","[BD-2610] Video for streamlined mobile registration"
"bd3d2d80","nicolasepiscopo","1536260169","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"e78992a2","nicolasepiscopo","1536259949","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native"
"1f4ec6ea","nicolasepiscopo","1536259939","Merge branch 'develop' of bitbucket.org:bardog/bardog-mobile-native"
"d2e4a046","nicolasepiscopo","1536259903","Fix for subscriptions integration"
"ecac2464","nicolasepiscopo","1536258960","[BD-2769] [BD-2767]"
"cb524936","nicolasepiscopo","1536241249","Refactoring styles - replaced rgba by pallete colors"
"4c95b98e","nicolasepiscopo","1536181809","Refactoring styles - created unified color pallete"
"4d8febea","nicolasepiscopo","1536168512","Generated bundles for iOS and Android - version 3.26.0"
"6966aee2","nicolasepiscopo","1536164291","Merge branch 'master' of bitbucket.org:bardog/bardog-mobile-native into deploy"
"c928ae8a","Nicolás Epíscopo","1536164006","Merged in develop (pull request #53)"
"60b589dd","Nicolás Epíscopo","1536161632","Merged in feature/streamlined-registration (pull request #45)"
"4049e74d","nicolasepiscopo","1536161596","Fixing conflicts"
"ad9ef960","Nicolás Epíscopo","1536161464","Merged in bugfix/BD-2741 (pull request #52)"
"351feed5","nicolasepiscopo","1536158567","[BD-2763] Grant free 'Premium Trial' to all free users on mobile"
"15b829f7","nicolasepiscopo","1536155417","[BD-2763] Grant free 'Premium Trial' to all free users on mobile"
"620e8c7f","nicolasepiscopo","1536154578","[BD-2761] Improve 'Continue with a Free account' button on the Premium page"
"a5dd3861","nicolasepiscopo","1536150581","[BD-2737] Business name selection will remain if user quickly enters a business then press 'Done' button"
